JobID,JobName,VolumeName,Level,JobStatus,WeekNum,VolStatus,VolUseEnd,VolRecycleTime,DayOfWeek,StartTime,Files,GB
4,webserver-job,webserver-monthly-CopyPool-0,F,T,1,Used,NA,2018-09-24 22:56:46,Friday,2017-01-06 22:00:00,2030,0.058
44,webserver-job,webserver-weekly-CopyPool-1,F,T,3,Used,NA,2017-10-25 23:15:13,Friday,2017-01-20 22:00:00,2030,0.058
48,webserver-job,webserver-daily-CopyPool-0,D,T,4,Used,NA,2017-10-06 23:38:44,Monday,2017-01-23 22:00:00,2029,0.058
52,webserver-job,webserver-daily-CopyPool-0,D,T,4,Used,NA,2017-10-06 23:38:44,Tuesday,2017-01-24 22:00:00,2029,0.058
56,webserver-job,webserver-daily-CopyPool-0,D,T,4,Used,NA,2017-10-06 23:38:44,Wednesday,2017-01-25 22:00:00,2029,0.058
60,webserver-job,webserver-daily-CopyPool-0,D,T,4,Used,NA,2017-10-06 23:38:44,Thursday,2017-01-26 22:00:00,2029,0.058
64,webserver-job,webserver-weekly-CopyPool-2,F,T,4,Used,NA,2017-10-25 23:24:22,Friday,2017-01-27 22:00:00,2030,0.058
68,webserver-job,webserver-daily-CopyPool-0,D,T,5,Used,NA,2017-10-06 23:38:44,Monday,2017-01-30 22:00:00,2029,0.058
72,webserver-job,webserver-daily-CopyPool-0,D,T,5,Used,NA,2017-10-06 23:38:44,Tuesday,2017-01-31 22:00:00,2029,0.058
76,webserver-job,webserver-daily-CopyPool-0,D,T,5,Used,NA,2017-10-06 23:38:44,Wednesday,2017-02-01 22:00:01,2029,0.058
80,webserver-job,webserver-daily-CopyPool-0,D,T,5,Used,NA,2017-10-06 23:38:44,Thursday,2017-02-02 22:00:00,2029,0.058
84,webserver-job,webserver-monthly-CopyPool-1,F,T,5,Append,2017-02-06 20:00:06,NA,Friday,2017-02-03 22:00:00,2030,0.058
88,webserver-job,webserver-daily-CopyPool-0,D,T,6,Used,NA,2017-10-06 23:38:44,Monday,2017-02-06 22:00:00,2029,0.058
92,webserver-job,webserver-daily-CopyPool-0,D,T,6,Used,NA,2017-10-06 23:38:44,Tuesday,2017-02-07 22:00:00,2029,0.058
96,webserver-job,webserver-daily-CopyPool-1,D,T,6,Append,2017-10-01 23:39:59,NA,Wednesday,2017-02-08 22:00:00,2029,0.058
100,webserver-job,webserver-daily-CopyPool-1,D,T,6,Append,2017-10-01 23:39:59,NA,Thursday,2017-02-09 22:00:00,2029,0.058
104,webserver-job,webserver-weekly-CopyPool-0,F,T,6,Append,2017-09-30 21:42:36,NA,Friday,2017-02-10 22:00:00,2030,0.058
108,webserver-job,webserver-daily-CopyPool-1,D,T,7,Append,2017-10-01 23:39:59,NA,Monday,2017-02-13 22:00:00,2028,0.058
112,webserver-job,webserver-daily-CopyPool-1,D,T,7,Append,2017-10-01 23:39:59,NA,Tuesday,2017-02-14 22:00:00,2028,0.058
116,webserver-job,webserver-daily-CopyPool-1,D,T,7,Append,2017-10-01 23:39:59,NA,Wednesday,2017-02-15 22:00:00,2028,0.058
120,webserver-job,webserver-daily-CopyPool-1,D,T,7,Append,2017-10-01 23:39:59,NA,Thursday,2017-02-16 22:00:00,2028,0.058
124,webserver-job,webserver-weekly-CopyPool-0,F,T,7,Append,2017-09-30 21:42:36,NA,Friday,2017-02-17 22:00:00,2030,0.058
